Frame,Method,Sharpness_Before,Sharpness_After
1,median_contrast,79.12471341524696,85.12090198525917
1,median_hist_eq,224.20135327712637,117.60111007863925
1,gaussian_contrast,46.75190693566371,103.13457748996555
1,gaussian_hist_eq,189.06412150961245,171.1350669153472
2,median_contrast,64.9037032252146,85.18490397833273
2,median_hist_eq,196.2862466516928,118.34873857051817
2,gaussian_contrast,47.45613332844821,105.26364507088817
2,gaussian_hist_eq,194.68231139196533,175.73887335179998
3,median_contrast,61.9309355134703,84.49157316598122
3,median_hist_eq,191.19988373334806,117.7788551607139
3,gaussian_contrast,42.28976940117033,100.62572498858951
3,gaussian_hist_eq,175.311376679792,168.88640818401183
4,median_contrast,46.50574576291956,78.93239162954126
4,median_hist_eq,171.66963958590574,113.21968154474321
4,gaussian_contrast,33.103746010624654,91.50522787591167
4,gaussian_hist_eq,153.92454292495646,157.76752316156853
5,median_contrast,49.65159739043754,80.16159443603583
5,median_hist_eq,165.48799375846286,111.60176704774466
5,gaussian_contrast,32.559123373354836,91.64042876338387
5,gaussian_hist_eq,146.25554235118895,153.53818589181958
6,median_contrast,43.65716571880914,77.41181951598725
6,median_hist_eq,149.84525621388187,109.5147515571204
6,gaussian_contrast,30.30852815686012,89.7334017823477
6,gaussian_hist_eq,138.95672780938898,149.3263196026502
7,median_contrast,31.73230166590254,72.40087084943733
7,median_hist_eq,125.05700894735975,102.53148942421662
7,gaussian_contrast,23.227086380389053,82.45954151670846
7,gaussian_hist_eq,110.63281997449798,135.81484028884861
8,median_contrast,29.127138884685465,69.90456536330223
8,median_hist_eq,109.1612617888329,95.7965288576691
8,gaussian_contrast,20.416363698572813,78.58398511400189
8,gaussian_hist_eq,102.31903015332276,125.35676566891448
9,median_contrast,30.91285833953954,71.88587427549595
9,median_hist_eq,114.0888154630524,97.12806618415885
9,gaussian_contrast,20.87130700114323,79.70153699741653
9,gaussian_hist_eq,99.21039894960937,126.27381803618015
10,median_contrast,28.754054760706182,71.21495353132498
10,median_hist_eq,115.94545256852837,99.49442486767096
10,gaussian_contrast,20.634298028625892,79.37126950263544
10,gaussian_hist_eq,103.81527059738387,130.01627176320542
11,median_contrast,25.605939176363933,68.29531359579151
11,median_hist_eq,108.49405476018637,93.64558859914185
11,gaussian_contrast,17.737458339789516,74.61349005138545
11,gaussian_hist_eq,93.78893911101349,120.18355010055504
12,median_contrast,26.62457039615002,67.48999021087282
12,median_hist_eq,97.90654419346778,88.42299345849689
12,gaussian_contrast,16.952711921656242,72.80743667903548
12,gaussian_hist_eq,86.47582467879599,111.15764133399608
13,median_contrast,30.667498515599192,69.08677339859818
13,median_hist_eq,105.35011904962107,89.81076048494738
13,gaussian_contrast,18.43510124842931,74.06009248470517
13,gaussian_hist_eq,95.97057927428664,113.94510652505686
14,median_contrast,32.345163343373976,70.62352890344894
14,median_hist_eq,113.01249638485284,92.13041789176283
14,gaussian_contrast,18.570733646640544,74.89212817762129
14,gaussian_hist_eq,98.72932101504723,113.42117700272527
15,median_contrast,31.871855539615623,68.31464449986889
15,median_hist_eq,115.89858986680089,91.42602374657659
15,gaussian_contrast,17.99022591196254,73.20693046027165
15,gaussian_hist_eq,100.21098786912216,114.32878030074032
16,median_contrast,30.648638045125537,67.16988651533524
16,median_hist_eq,100.11088779129716,87.35078636145856
16,gaussian_contrast,18.062189766969947,73.88846172428907
16,gaussian_hist_eq,88.13804387765475,107.34526284096218
17,median_contrast,34.58452661363077,71.00942794338984
17,median_hist_eq,117.85863709639807,95.17654968785419
17,gaussian_contrast,18.91075594753744,76.49526460720557
17,gaussian_hist_eq,102.45791700818374,117.97927883659243
18,median_contrast,27.943252129548263,66.55538461162179
18,median_hist_eq,109.74878991084587,90.48076345384602
18,gaussian_contrast,17.306818438044328,72.4618474872098
18,gaussian_hist_eq,100.0286127601641,112.44464483239004
19,median_contrast,30.46963883890571,67.99484894578514
19,median_hist_eq,111.51878242980385,92.49001084114258
19,gaussian_contrast,19.37347265633883,75.55523910003605
19,gaussian_hist_eq,98.25590082953883,114.74019089121053
20,median_contrast,36.51718020185971,71.20835638303936
20,median_hist_eq,145.4048809496343,101.48853840556465
20,gaussian_contrast,24.518395617148503,81.02241461671622
20,gaussian_hist_eq,133.71215860879778,135.93916351582345
21,median_contrast,54.33213200471488,77.99259662583307
21,median_hist_eq,204.97934486466283,119.75424430104775
21,gaussian_contrast,39.580555688677656,96.53202911053079
21,gaussian_hist_eq,159.1274486294277,167.26146432737576
22,median_contrast,61.86104153953202,82.09581063946435
22,median_hist_eq,139.32366928908752,103.77607876854542
22,gaussian_contrast,34.13010473263471,91.40333757940627
22,gaussian_hist_eq,84.51455992563702,119.35238972975154
23,median_contrast,63.52226123255244,82.85757603755917
23,median_hist_eq,174.17526833484757,111.36492527362199
23,gaussian_contrast,35.95552253280584,93.01340772368673
23,gaussian_hist_eq,127.22113555746425,141.38281248761092
24,median_contrast,42.63503412629764,68.72567780141425
24,median_hist_eq,202.5968245186086,111.98565494555466
24,gaussian_contrast,20.551441418921957,73.11105353615861
24,gaussian_hist_eq,166.84851170187636,141.93588081609872
25,median_contrast,44.51924317182247,70.3429133921102
25,median_hist_eq,166.79070802237683,104.07705099356959
25,gaussian_contrast,18.638798466463673,72.37537878158919
25,gaussian_hist_eq,137.58500492488045,123.19462650882694
26,median_contrast,51.65515163412772,73.86331881756637
26,median_hist_eq,188.1778640084799,108.45715299297429
26,gaussian_contrast,21.61537649263413,77.17124321189914
26,gaussian_hist_eq,158.09460996100043,135.5826101427525
27,median_contrast,52.88018925352555,73.13879868481581
27,median_hist_eq,193.05756931551818,107.94966832274658
27,gaussian_contrast,19.3334045252736,73.01678619430717
27,gaussian_hist_eq,153.84467924168362,125.50620295324057
28,median_contrast,58.3531117444241,74.33714059966788
28,median_hist_eq,199.0122014882473,107.31638061577534
28,gaussian_contrast,19.90961619857404,74.62927768551603
28,gaussian_hist_eq,164.72690241287816,127.26331758167575
29,median_contrast,54.994678352217136,73.89166584360837
29,median_hist_eq,196.77569591371298,109.90415919534084
29,gaussian_contrast,21.265946874743868,75.8621817240233
29,gaussian_hist_eq,156.51768241331308,131.9159152194151
30,median_contrast,57.50645270151056,73.84416202269145
30,median_hist_eq,189.46773399263722,108.11175910986768
30,gaussian_contrast,20.493947301242176,74.62409450047542
30,gaussian_hist_eq,145.8864996582895,121.85559293872117
